farmer_id,name,location,product,land_size
F4075,Amit,UP,Wheat,2.8
F2377,Rajesh,Maharashtra,Soybean,3.5
F2242,Rajesh,Unknown,Rice,5.0
F4945,Unknown,Punjab,Soybean,2.8
F9862,Unknown,Haryana,Rice,1.2
F6210,Ravi,Maharashtra,Potato,5.0
F7889,Unknown,UP,Soybean,5.0
F4496,Unknown,Maharashtra,Soybean,5.0
F5257,Sunil,Punjab,Wheat,3.5
F5588,Rajesh,Maharashtra,Rice,2.8
F7902,Ravi,Unknown,Maize,2.8
F8207,Sunil,Unknown,Potato,1.2
F3246,Unknown,Punjab,Rice,1.2
F6232,Rajesh,Maharashtra,Rice,2.8
F6462,Manoj,Haryana,Rice,4.5
F8440,Rajesh,Unknown,Rice,4.5
F1963,Sunil,Haryana,Soybean,1.2
F8496,Rajesh,Maharashtra,Potato,5.0
F7192,Manoj,Karnataka,Maize,3.5
F1021,Sunil,Maharashtra,Maize,4.5
F8063,Sunil,Maharashtra,Rice,2.8
F6034,Unknown,Karnataka,Wheat,3.5
F7776,Manoj,Unknown,Wheat,3.5
F3456,Rajesh,Maharashtra,Maize,2.8
F5808,Amit,Haryana,Potato,3.5
F5502,Unknown,Haryana,Rice,4.5
F1549,Manoj,Karnataka,Soybean,2.8
F9233,Manoj,UP,Rice,1.2
F3343,Amit,Haryana,Wheat,5.0
F3069,Manoj,UP,Rice,3.5
F5978,Unknown,UP,Wheat,3.5
F9189,Ravi,Maharashtra,Potato,3.5
F7864,Unknown,Punjab,Soybean,3.5
F2857,Rajesh,Punjab,Soybean,1.2
F5398,Unknown,Punjab,Wheat,3.5
F7979,Manoj,Unknown,Soybean,2.8
F5229,Rajesh,Haryana,Soybean,3.5
F4358,Amit,Maharashtra,Potato,4.5
F7485,Rajesh,Karnataka,Wheat,5.0
F9038,Ravi,Unknown,Maize,2.8
F8233,Amit,Unknown,Soybean,4.5
F6466,Rajesh,Unknown,Rice,3.5
F9462,Rajesh,UP,Soybean,5.0
F4605,Manoj,Unknown,Potato,3.5
F3539,Rajesh,Haryana,Maize,5.0
F5831,Manoj,Haryana,Rice,2.8
F8477,Ravi,UP,Rice,4.5
F8857,Rajesh,Karnataka,Potato,3.5
F5531,Amit,Maharashtra,Rice,4.5
F3358,Sunil,Punjab,Soybean,2.8
F3048,Manoj,Punjab,Rice,1.2
F1036,Rajesh,Haryana,Potato,4.5
F9302,Rajesh,Haryana,Wheat,3.5
F1984,Amit,Unknown,Maize,3.5
F2393,Unknown,Haryana,Wheat,3.5
F6524,Rajesh,Unknown,Rice,3.5
F3828,Amit,Punjab,Potato,1.2
F8201,Manoj,Unknown,Rice,1.2
F9046,Sunil,Haryana,Rice,2.8
F3783,Unknown,Unknown,Rice,1.2
F5824,Amit,Punjab,Rice,3.5
F6393,Rajesh,Punjab,Wheat,5.0
F5484,Rajesh,Karnataka,Soybean,3.5
F5037,Rajesh,Karnataka,Maize,5.0
F8368,Amit,UP,Potato,4.5
F8952,Sunil,Karnataka,Wheat,5.0
F2477,Ravi,UP,Wheat,4.5
F6672,Manoj,UP,Rice,4.5
F8019,Rajesh,UP,Maize,2.8
F8670,Sunil,Maharashtra,Maize,2.8
F6743,Rajesh,UP,Potato,5.0
F2091,Ravi,Punjab,Rice,5.0
F2025,Amit,Karnataka,Maize,3.5
F8396,Rajesh,Karnataka,Rice,2.8
F1186,Sunil,Haryana,Soybean,3.5
F3362,Manoj,Maharashtra,Rice,3.5
F9773,Unknown,UP,Rice,1.2
F9646,Ravi,Punjab,Soybean,1.2
F7493,Unknown,Unknown,Potato,3.5
F1767,Ravi,Haryana,Potato,1.2
F5746,Sunil,Unknown,Potato,3.5
F8838,Manoj,UP,Potato,1.2
F8687,Unknown,Unknown,Soybean,2.8
F7469,Sunil,UP,Rice,1.2
F9540,Amit,Punjab,Soybean,1.2
F4713,Sunil,Karnataka,Potato,3.5
F5034,Rajesh,Karnataka,Soybean,4.5
F2884,Sunil,Haryana,Soybean,5.0
F3116,Manoj,Maharashtra,Maize,5.0
F4556,Ravi,Karnataka,Rice,4.5
F3864,Ravi,Maharashtra,Potato,5.0
F2137,Rajesh,UP,Wheat,3.5
F6709,Sunil,Unknown,Soybean,2.8
F7987,Amit,UP,Rice,2.8
F6467,Sunil,Unknown,Maize,5.0
F1604,Amit,Karnataka,Maize,4.5
F8356,Sunil,Punjab,Soybean,5.0
F8036,Manoj,Punjab,Soybean,4.5
F1170,Sunil,Haryana,Soybean,4.5
F9136,Ravi,UP,Soybean,5.0
F8123,Manoj,Unknown,Soybean,1.2
F4929,Unknown,Haryana,Rice,4.5
F6717,Manoj,Punjab,Maize,1.2
F6438,Ravi,Unknown,Maize,1.2
F8755,Sunil,Karnataka,Wheat,3.5
F8085,Rajesh,Maharashtra,Soybean,1.2
F7225,Ravi,Karnataka,Rice,2.8
F6302,Manoj,Unknown,Soybean,1.2
F9644,Sunil,UP,Maize,5.0
F6217,Ravi,Unknown,Maize,4.5
F3075,Sunil,Karnataka,Wheat,3.5
F3076,Manoj,Karnataka,Rice,3.5
F7031,Ravi,Maharashtra,Wheat,2.8
F1281,Manoj,Maharashtra,Maize,5.0
F7330,Rajesh,UP,Potato,3.5
F5937,Sunil,Karnataka,Rice,3.5
F2049,Rajesh,Punjab,Soybean,5.0
F9936,Sunil,Haryana,Potato,3.5
F9792,Unknown,Haryana,Soybean,3.5
F6789,Rajesh,Haryana,Rice,1.2
F8308,Manoj,Haryana,Potato,5.0
F1639,Rajesh,Haryana,Potato,2.8
F7497,Sunil,Haryana,Potato,5.0
F1715,Unknown,Karnataka,Potato,4.5
F5300,Amit,Punjab,Wheat,5.0
F9744,Unknown,Karnataka,Soybean,4.5
F4394,Unknown,Punjab,Maize,4.5
F3359,Amit,UP,Potato,2.8
F1307,Manoj,Punjab,Rice,5.0
F7418,Sunil,Karnataka,Wheat,3.5
F8234,Rajesh,Karnataka,Soybean,4.5
F1427,Manoj,Unknown,Rice,3.5
F4564,Manoj,Haryana,Soybean,3.5
F1376,Sunil,Maharashtra,Soybean,5.0
F3276,Sunil,Karnataka,Soybean,4.5
F3476,Unknown,Maharashtra,Soybean,4.5
F3179,Amit,Haryana,Soybean,1.2
F5243,Manoj,UP,Potato,3.5
F1642,Ravi,Unknown,Potato,3.5
F3842,Sunil,Maharashtra,Wheat,4.5
F7295,Ravi,Haryana,Maize,3.5
F2201,Sunil,Maharashtra,Potato,1.2
F9261,Sunil,Haryana,Potato,1.2
F6595,Ravi,Punjab,Soybean,5.0
F4304,Rajesh,Unknown,Maize,1.2
F9743,Sunil,Unknown,Rice,1.2
F2031,Sunil,Karnataka,Wheat,3.5
F6492,Amit,Haryana,Potato,3.5
F2239,Rajesh,Karnataka,Soybean,1.2
F7965,Amit,Maharashtra,Rice,5.0
F1930,Unknown,Haryana,Rice,2.8
F8274,Rajesh,UP,Maize,3.5
F4835,Ravi,Karnataka,Maize,4.5
F6822,Amit,UP,Potato,3.5
F4341,Ravi,Haryana,Rice,3.5
F8957,Manoj,Karnataka,Potato,3.5
F5927,Unknown,UP,Wheat,1.2
F2002,Ravi,Punjab,Wheat,5.0
F6005,Manoj,Unknown,Potato,1.2
F7293,Ravi,Unknown,Wheat,2.8
F6505,Amit,Punjab,Wheat,5.0
F5592,Rajesh,Maharashtra,Soybean,3.5
F6250,Rajesh,Maharashtra,Potato,2.8
F6442,Ravi,Maharashtra,Maize,2.8
F2893,Amit,Unknown,Wheat,3.5
F4182,Amit,Punjab,Maize,2.8
F3760,Unknown,Unknown,Rice,4.5
F2383,Unknown,Karnataka,Wheat,3.5
F1507,Manoj,Unknown,Potato,4.5
F5904,Unknown,UP,Soybean,3.5
F8098,Ravi,UP,Maize,2.8
F8347,Amit,Punjab,Potato,5.0
F6654,Rajesh,Karnataka,Wheat,5.0
F2251,Ravi,Unknown,Maize,3.5
F8926,Rajesh,Haryana,Maize,5.0
F6348,Ravi,Karnataka,Wheat,3.5
F2498,Sunil,Punjab,Maize,4.5
F9539,Manoj,Punjab,Maize,5.0
F9601,Ravi,Maharashtra,Rice,4.5
F8413,Manoj,Haryana,Rice,4.5
F3333,Unknown,Unknown,Soybean,1.2
F2381,Sunil,Maharashtra,Potato,3.5
F7468,Amit,Punjab,Soybean,1.2
F7953,Unknown,UP,Potato,3.5
F7576,Manoj,Karnataka,Wheat,4.5
F4631,Rajesh,Maharashtra,Potato,5.0
F9324,Ravi,Punjab,Maize,1.2
F6172,Ravi,Punjab,Wheat,5.0
F3047,Amit,Punjab,Wheat,4.5
F3670,Sunil,UP,Wheat,4.5
F9886,Amit,Karnataka,Wheat,1.2
F4225,Unknown,UP,Wheat,3.5
F9443,Rajesh,Unknown,Potato,2.8
F9573,Unknown,Maharashtra,Rice,4.5
F4962,Amit,Karnataka,Potato,1.2
F8595,Sunil,Karnataka,Soybean,4.5
F7383,Amit,Punjab,Potato,2.8
F3100,Ravi,Punjab,Soybean,1.2
F8495,Ravi,Punjab,Soybean,3.5
F3546,Amit,Punjab,Soybean,1.2
F4615,Rajesh,Haryana,Rice,4.5
F6061,Ravi,Haryana,Rice,2.8
F4934,Ravi,Unknown,Wheat,3.5
F7798,Sunil,Unknown,Maize,3.5
F4281,Amit,UP,Soybean,5.0
F6714,Ravi,Punjab,Soybean,5.0
F3624,Rajesh,Karnataka,Wheat,3.5
F8995,Unknown,Punjab,Soybean,2.8
F1742,Ravi,Punjab,Wheat,3.5
F4593,Ravi,Punjab,Wheat,5.0
F2111,Rajesh,Karnataka,Rice,2.8
F2623,Amit,Haryana,Soybean,4.5
F8061,Unknown,Karnataka,Soybean,5.0
F8616,Rajesh,UP,Maize,3.5
F1430,Amit,UP,Wheat,5.0
F2824,Manoj,Haryana,Maize,3.5
F9070,Manoj,UP,Potato,5.0
F3182,Unknown,Karnataka,Rice,2.8
F8058,Unknown,UP,Maize,5.0
F6251,Unknown,Haryana,Rice,1.2
F2957,Rajesh,Karnataka,Wheat,3.5
F5513,Ravi,Maharashtra,Rice,3.5
F9075,Sunil,Maharashtra,Wheat,4.5
F4082,Sunil,Maharashtra,Maize,3.5
F4008,Amit,UP,Maize,4.5
F9049,Amit,Karnataka,Wheat,3.5
F6741,Sunil,Maharashtra,Soybean,3.5
F4811,Amit,Unknown,Wheat,3.5
F8827,Unknown,Unknown,Rice,4.5
F4434,Sunil,UP,Rice,4.5
F5064,Amit,Unknown,Soybean,4.5
F5867,Rajesh,Haryana,Maize,3.5
F8320,Ravi,Unknown,Soybean,3.5
F3462,Ravi,Haryana,Potato,2.8
F3612,Amit,Haryana,Potato,2.8
F3324,Ravi,UP,Rice,3.5
F3218,Unknown,Unknown,Soybean,5.0
F5504,Manoj,UP,Rice,3.5
F8866,Sunil,Haryana,Soybean,3.5
F4716,Unknown,Maharashtra,Maize,4.5
F5960,Rajesh,Haryana,Rice,3.5
F9628,Manoj,Unknown,Potato,3.5
F8574,Rajesh,Punjab,Wheat,4.5
F1566,Sunil,Haryana,Wheat,2.8
F2527,Unknown,Unknown,Rice,2.8
F8216,Rajesh,Maharashtra,Wheat,4.5
F4972,Amit,UP,Soybean,1.2
F5284,Manoj,Maharashtra,Soybean,1.2
F5241,Amit,Unknown,Wheat,3.5
F7304,Unknown,Haryana,Wheat,2.8
F3142,Rajesh,Karnataka,Rice,4.5
F4021,Amit,Haryana,Soybean,3.5
F2480,Amit,Haryana,Wheat,5.0
F8895,Sunil,Unknown,Wheat,1.2
F1167,Unknown,UP,Maize,1.2
F7376,Unknown,UP,Wheat,2.8
F2633,Unknown,Haryana,Maize,3.5
F5873,Manoj,Unknown,Soybean,4.5
F6134,Manoj,Punjab,Maize,1.2
F6533,Unknown,Karnataka,Rice,3.5
F7360,Unknown,Karnataka,Wheat,3.5
F5141,Manoj,Karnataka,Wheat,3.5
F3114,Sunil,Karnataka,Soybean,2.8
F1477,Ravi,Maharashtra,Rice,4.5
F9333,Ravi,Unknown,Rice,4.5
F3750,Unknown,Unknown,Potato,5.0
F2584,Amit,UP,Rice,3.5
F9055,Sunil,Haryana,Wheat,3.5
F8199,Unknown,Haryana,Potato,4.5
F8019,Unknown,Punjab,Maize,1.2
F5391,Sunil,Maharashtra,Wheat,3.5
F2719,Rajesh,Punjab,Rice,2.8
F3831,Manoj,Haryana,Soybean,2.8
F5298,Manoj,UP,Rice,1.2
F9566,Unknown,Haryana,Wheat,2.8
F4400,Manoj,Unknown,Potato,1.2
F5027,Ravi,Karnataka,Potato,3.5
F3699,Ravi,Karnataka,Soybean,5.0
F4851,Sunil,Haryana,Potato,2.8
F2407,Manoj,Maharashtra,Soybean,3.5
F4313,Ravi,Unknown,Wheat,2.8
F3024,Ravi,Haryana,Wheat,5.0
F6619,Amit,Karnataka,Potato,4.5
F1196,Rajesh,Punjab,Soybean,4.5
F2721,Unknown,Unknown,Soybean,5.0
F1898,Sunil,UP,Maize,1.2
F6598,Sunil,UP,Soybean,4.5
F7592,Amit,Karnataka,Soybean,2.8
F7480,Amit,Punjab,Maize,1.2
F6601,Rajesh,Punjab,Potato,3.5
F5770,Unknown,Karnataka,Soybean,5.0
F4000,Rajesh,Haryana,Rice,3.5
F1938,Sunil,Haryana,Potato,1.2
F6879,Unknown,Haryana,Soybean,4.5
F9109,Sunil,Maharashtra,Rice,1.2
F4360,Sunil,Punjab,Maize,4.5
F4217,Sunil,Punjab,Maize,4.5
F2707,Ravi,Unknown,Maize,4.5
F6515,Unknown,Maharashtra,Soybean,3.5
F4167,Ravi,Karnataka,Potato,2.8
F7316,Sunil,Unknown,Soybean,3.5
F1256,Manoj,Haryana,Potato,2.8
F3014,Rajesh,Haryana,Potato,2.8
F3100,Unknown,Karnataka,Potato,3.5
F9465,Rajesh,UP,Potato,5.0
F8576,Manoj,Karnataka,Potato,2.8
F2637,Manoj,Punjab,Soybean,1.2
F9421,Unknown,Karnataka,Soybean,2.8
F8350,Sunil,Karnataka,Potato,2.8
F4600,Ravi,Unknown,Maize,4.5
F9587,Rajesh,Unknown,Wheat,1.2
F8568,Sunil,Unknown,Rice,2.8
F1386,Ravi,Unknown,Wheat,5.0
F5060,Sunil,Unknown,Rice,4.5
F8412,Manoj,Unknown,Potato,3.5
F6249,Ravi,Punjab,Rice,3.5
F7820,Manoj,Unknown,Maize,5.0
F3079,Unknown,Unknown,Maize,1.2
F5281,Manoj,Haryana,Rice,4.5
F4980,Sunil,Haryana,Wheat,1.2
F8110,Amit,Haryana,Soybean,4.5
F4076,Sunil,Maharashtra,Soybean,4.5
F7636,Sunil,Haryana,Rice,5.0
F7209,Ravi,Haryana,Maize,3.5
F5842,Rajesh,Punjab,Rice,3.5
F4498,Sunil,Maharashtra,Maize,1.2
F2684,Ravi,Haryana,Potato,3.5
F6451,Ravi,Unknown,Maize,4.5
F7671,Ravi,Unknown,Rice,5.0
F8841,Unknown,Maharashtra,Rice,3.5
F5161,Rajesh,Maharashtra,Maize,4.5
F5140,Manoj,UP,Wheat,3.5
F9741,Rajesh,Maharashtra,Wheat,1.2
F5074,Manoj,Punjab,Potato,2.8
F3757,Ravi,UP,Soybean,4.5
F9006,Amit,Haryana,Soybean,3.5
F4044,Ravi,Haryana,Maize,3.5
F6701,Unknown,Punjab,Potato,4.5
F1222,Unknown,Punjab,Rice,2.8
F7447,Manoj,UP,Wheat,4.5
F7041,Sunil,Haryana,Wheat,5.0
F5051,Manoj,Punjab,Rice,3.5
F3706,Sunil,Karnataka,Potato,1.2
F1166,Manoj,Haryana,Wheat,4.5
F4040,Rajesh,Karnataka,Wheat,3.5
F4859,Unknown,Karnataka,Maize,2.8
F5949,Unknown,Karnataka,Wheat,1.2
F6469,Amit,Punjab,Soybean,5.0
F7393,Rajesh,Unknown,Maize,2.8
F6758,Sunil,Haryana,Potato,4.5
F8668,Unknown,Unknown,Maize,2.8
F4355,Ravi,Maharashtra,Maize,1.2
F2032,Amit,UP,Wheat,1.2
F5348,Ravi,Haryana,Potato,3.5
F4127,Manoj,UP,Potato,3.5
F3753,Unknown,Maharashtra,Wheat,3.5
F7726,Sunil,UP,Wheat,4.5
F7137,Sunil,Haryana,Rice,1.2
F2559,Rajesh,Unknown,Maize,3.5
F3192,Amit,Maharashtra,Soybean,3.5
F2784,Rajesh,UP,Wheat,3.5
F7834,Manoj,Karnataka,Soybean,3.5
F3395,Ravi,Haryana,Maize,2.8
F1560,Rajesh,Haryana,Soybean,4.5
F8522,Unknown,Maharashtra,Wheat,2.8
F7970,Manoj,Punjab,Soybean,4.5
F9679,Sunil,Karnataka,Maize,1.2
F7699,Rajesh,Maharashtra,Maize,3.5
F1015,Unknown,Unknown,Potato,1.2
F8688,Unknown,Maharashtra,Rice,3.5
F5127,Ravi,Maharashtra,Wheat,1.2
F4975,Unknown,Maharashtra,Potato,3.5
F5328,Ravi,Haryana,Soybean,2.8
F4653,Unknown,Unknown,Potato,4.5
F9960,Amit,UP,Wheat,2.8
F2131,Unknown,Punjab,Potato,3.5
F9338,Unknown,Unknown,Soybean,5.0
F5807,Unknown,Maharashtra,Potato,5.0
F6100,Manoj,UP,Maize,2.8
F1786,Ravi,Haryana,Maize,3.5
F2682,Ravi,UP,Soybean,3.5
F5040,Manoj,Haryana,Soybean,2.8
F7323,Sunil,Karnataka,Rice,4.5
F6189,Unknown,Punjab,Potato,4.5
F4258,Unknown,Unknown,Maize,1.2
F3576,Ravi,UP,Maize,2.8
F8526,Sunil,Maharashtra,Maize,2.8
F8368,Amit,Maharashtra,Soybean,5.0
F7766,Unknown,Unknown,Potato,2.8
F4046,Manoj,Unknown,Potato,3.5
F4409,Manoj,Punjab,Soybean,5.0
F6011,Manoj,Karnataka,Potato,3.5
F7055,Unknown,Punjab,Rice,5.0
F1927,Sunil,Maharashtra,Rice,1.2
F8669,Rajesh,Maharashtra,Maize,4.5
F6594,Manoj,Haryana,Rice,3.5
F8327,Unknown,Karnataka,Rice,3.5
F4459,Ravi,Unknown,Potato,1.2
F6617,Ravi,Haryana,Wheat,4.5
F5030,Unknown,Haryana,Maize,3.5
F8863,Ravi,UP,Soybean,3.5
F1684,Manoj,Maharashtra,Maize,3.5
F9915,Amit,Maharashtra,Maize,2.8
F9732,Amit,Punjab,Potato,1.2
F4467,Amit,Haryana,Maize,2.8
F2897,Sunil,Unknown,Soybean,4.5
F4289,Ravi,Maharashtra,Wheat,1.2
F3687,Amit,Haryana,Potato,3.5
F2280,Amit,Maharashtra,Rice,2.8
F8518,Rajesh,Maharashtra,Wheat,1.2
F7065,Amit,Maharashtra,Potato,3.5
F9133,Unknown,Punjab,Maize,2.8
F7988,Manoj,Unknown,Soybean,2.8
F2555,Manoj,Punjab,Rice,3.5
F3616,Ravi,Punjab,Wheat,5.0
F7412,Manoj,Karnataka,Soybean,1.2
F5614,Unknown,UP,Potato,5.0
F6461,Unknown,UP,Rice,5.0
F7201,Amit,UP,Wheat,3.5
F8634,Unknown,Haryana,Maize,5.0
F1046,Sunil,Haryana,Maize,3.5
F2095,Manoj,Maharashtra,Potato,3.5
F5936,Manoj,Maharashtra,Rice,1.2
F6060,Manoj,Karnataka,Potato,2.8
F3526,Sunil,Maharashtra,Rice,4.5
F7394,Amit,Punjab,Potato,2.8
F6700,Rajesh,Karnataka,Potato,3.5
F4978,Ravi,Punjab,Wheat,1.2
F9974,Sunil,Punjab,Maize,3.5
F9270,Sunil,Maharashtra,Wheat,5.0
F1202,Amit,Haryana,Rice,5.0
F5112,Ravi,Maharashtra,Potato,2.8
F3709,Unknown,Punjab,Maize,2.8
F8443,Rajesh,Karnataka,Potato,3.5
F3451,Unknown,Haryana,Rice,2.8
F5369,Rajesh,UP,Potato,2.8
F6465,Manoj,Haryana,Wheat,5.0
F1612,Amit,Karnataka,Rice,4.5
F4560,Manoj,Maharashtra,Wheat,5.0
F2772,Ravi,Punjab,Potato,5.0
F7585,Manoj,Haryana,Potato,1.2
F8187,Rajesh,Karnataka,Maize,5.0
F1885,Amit,Punjab,Soybean,1.2
F9107,Unknown,Maharashtra,Potato,5.0
F9375,Sunil,Karnataka,Rice,3.5
F7082,Amit,Unknown,Potato,4.5
F6598,Manoj,UP,Soybean,4.5
F1224,Ravi,Unknown,Maize,4.5
F6924,Ravi,UP,Rice,2.8
F1308,Sunil,Maharashtra,Rice,3.5
F8364,Unknown,Haryana,Maize,1.2
F1503,Sunil,Karnataka,Soybean,4.5
F1056,Amit,Maharashtra,Soybean,1.2
F3850,Rajesh,UP,Soybean,3.5
F8346,Manoj,Karnataka,Potato,3.5
F1682,Manoj,Karnataka,Potato,3.5
F6703,Rajesh,Haryana,Wheat,5.0
F5958,Manoj,Maharashtra,Soybean,5.0
F4667,Amit,Haryana,Maize,5.0
F4455,Unknown,Haryana,Maize,3.5
F9613,Ravi,Punjab,Maize,2.8
F4473,Unknown,UP,Soybean,3.5
F8383,Amit,UP,Rice,1.2
F8336,Unknown,Maharashtra,Wheat,3.5
F8650,Sunil,UP,Maize,3.5
F8678,Unknown,Punjab,Maize,4.5
F4041,Amit,UP,Wheat,4.5
F1548,Ravi,UP,Rice,5.0
F1722,Amit,Punjab,Wheat,1.2
F7580,Ravi,Haryana,Maize,5.0
F6857,Sunil,Maharashtra,Potato,1.2
F8172,Amit,Maharashtra,Maize,3.5
F7797,Unknown,UP,Potato,5.0
F9839,Ravi,Punjab,Rice,3.5
F2731,Manoj,Karnataka,Wheat,3.5
F4739,Sunil,UP,Wheat,3.5
F7209,Sunil,Haryana,Maize,4.5
F5258,Manoj,Karnataka,Soybean,4.5
F2497,Unknown,UP,Rice,3.5
F6630,Unknown,Punjab,Maize,3.5
F4546,Rajesh,Punjab,Maize,5.0
F1120,Amit,Haryana,Wheat,2.8
F9931,Manoj,Haryana,Potato,4.5
F6747,Rajesh,Unknown,Maize,3.5
F2121,Unknown,UP,Rice,4.5
F8541,Rajesh,UP,Soybean,3.5
F9684,Manoj,Punjab,Potato,1.2
F5640,Rajesh,Karnataka,Maize,4.5
F2794,Manoj,Karnataka,Potato,3.5
F3117,Ravi,UP,Wheat,2.8
F1941,Ravi,Haryana,Potato,3.5
F3258,Ravi,Maharashtra,Maize,5.0
F4523,Rajesh,UP,Rice,3.5
F9831,Unknown,Punjab,Wheat,3.5
F3533,Ravi,Maharashtra,Soybean,2.8
F3024,Ravi,Unknown,Maize,2.8
F4844,Unknown,Maharashtra,Rice,3.5
F7725,Ravi,Haryana,Wheat,3.5
F8401,Sunil,Punjab,Rice,2.8
F1801,Sunil,Unknown,Rice,3.5
F3175,Rajesh,Unknown,Wheat,3.5
F5337,Amit,UP,Wheat,5.0
F5271,Sunil,Karnataka,Maize,3.5
F1825,Amit,Maharashtra,Potato,5.0
F6854,Unknown,Maharashtra,Wheat,3.5
F8671,Manoj,Karnataka,Rice,3.5
F8748,Unknown,Haryana,Maize,3.5
F1627,Rajesh,Haryana,Wheat,2.8
F9079,Amit,Haryana,Maize,3.5
F8006,Unknown,UP,Potato,5.0
F1590,Manoj,Punjab,Wheat,1.2
F8178,Rajesh,Karnataka,Rice,2.8
F5020,Sunil,Unknown,Potato,5.0
F3385,Unknown,Haryana,Rice,5.0
F5321,Manoj,Karnataka,Wheat,5.0
F6735,Amit,Haryana,Wheat,2.8
F2610,Unknown,Maharashtra,Potato,5.0
F1886,Sunil,Haryana,Rice,4.5
F3226,Sunil,Maharashtra,Rice,3.5
F5567,Ravi,Haryana,Maize,3.5
F3885,Rajesh,Karnataka,Wheat,3.5
F4872,Amit,Punjab,Soybean,3.5
F7161,Manoj,Punjab,Rice,1.2
F8033,Unknown,Unknown,Potato,1.2
F6987,Ravi,Karnataka,Rice,3.5
F2953,Sunil,Punjab,Maize,3.5
F9701,Amit,Unknown,Soybean,1.2
F7033,Manoj,Maharashtra,Potato,2.8
F3958,Sunil,Punjab,Soybean,1.2
F6225,Unknown,UP,Maize,1.2
F4605,Ravi,Karnataka,Soybean,3.5
F5977,Unknown,Punjab,Rice,3.5
F9547,Amit,Karnataka,Soybean,3.5
F1946,Rajesh,Punjab,Soybean,1.2
F8219,Rajesh,Maharashtra,Wheat,4.5
F2705,Sunil,Haryana,Maize,2.8
F4504,Unknown,Punjab,Wheat,3.5
F9602,Rajesh,UP,Soybean,5.0
F7290,Amit,Haryana,Wheat,3.5
F9859,Ravi,Karnataka,Maize,4.5
F1370,Amit,Unknown,Potato,1.2
F6852,Rajesh,Unknown,Potato,3.5
F3441,Unknown,Punjab,Rice,1.2
F5044,Rajesh,Unknown,Potato,3.5
F2273,Manoj,Karnataka,Soybean,5.0
F7108,Sunil,Punjab,Soybean,1.2
F8346,Ravi,Haryana,Rice,2.8
F8441,Unknown,Karnataka,Soybean,5.0
F8720,Amit,Maharashtra,Wheat,4.5
F7706,Manoj,UP,Maize,1.2
F6951,Unknown,Maharashtra,Soybean,3.5
F5387,Sunil,UP,Soybean,3.5
F1020,Rajesh,Haryana,Maize,3.5
F7513,Sunil,Maharashtra,Potato,1.2
F8467,Amit,Haryana,Wheat,1.2
F8483,Manoj,UP,Wheat,3.5
F3821,Amit,Unknown,Maize,1.2
F5567,Ravi,Punjab,Potato,1.2
F2053,Unknown,Karnataka,Maize,5.0
F9506,Rajesh,Haryana,Wheat,3.5
F2862,Rajesh,Punjab,Maize,5.0
